Card Name,Quantity,ID #,Rarity,Set,Collector #,Premium,Sideboarded,
"Volcanic Dragon",1,68495,Uncommon,M19,167/280,No,No
"Patient Rebuilding",2,68295,Rare,M19,67/280,No,No
"Essence Scatter",2,68269,Common,M19,54/280,No,No
"Highland Lake",1,68667,Common,M19,252/280,No,No
"Divination",1,68263,Common,M19,51/280,No,No
"Snapping Drake",2,68311,Common,M19,75/280,No,No
"Aviation Pioneer",1,68253,Common,M19,46/280,No,No
"Uncomfortable Chill",1,68325,Common,M19,82/280,No,No
"Disperse",1,68261,Common,M19,50/280,No,No
"Wall of Mist",2,68327,Common,M19,83/280,No,No
"Electrify",1,68439,Common,M19,139/280,No,No
"Dwindle",2,68267,Common,M19,53/280,No,No
"Sparktongue Dragon",1,68479,Common,M19,159/280,No,No
"Tormenting Voice",1,68489,Common,M19,164/280,No,No
"Salvager of Secrets",1,68301,Common,M19,70/280,No,No
"Dragon Egg",1,68437,Uncommon,M19,138/280,No,No
"Anticipate",1,68249,Common,M19,44/280,No,No
"Enigma Drake",1,68593,Uncommon,M19,216/280,No,No
"Cancel",1,68257,Common,M19,48/280,No,No
"Island",9,68699,Basic Land,M19,268/280,No,No
"Mountain",7,68715,Basic Land,M19,276/280,No,No

"Luminous Bonds",1,68211,Common,M19,25/280,No,Yes
"Oreskos Swiftclaw",1,68223,Common,M19,31/280,No,Yes
"Shield Mare",1,68235,Uncommon,M19,37/280,No,Yes
"Cancel",1,68257,Common,M19,48/280,No,Yes
"Frilled Sea Serpent",2,68273,Common,M19,56/280,No,Yes
"Totally Lost",2,68323,Common,M19,81/280,No,Yes
"Uncomfortable Chill",1,68325,Common,M19,82/280,No,Yes
"Stitcher's Supplier",1,68403,Uncommon,M19,121/280,No,Yes
"Act of Treason",1,68415,Common,M19,127/280,No,Yes
"Crash Through",1,68427,Common,M19,133/280,No,Yes
"Goblin Instigator",1,68445,Common,M19,142/280,No,Yes
"Lava Axe",1,68461,Common,M19,150/280,No,Yes
"Smelt",1,68477,Common,M19,158/280,No,Yes
"Sure Strike",1,68483,Common,M19,161/280,No,Yes
"Tormenting Voice",1,68489,Common,M19,164/280,No,Yes
"Trumpet Blast",1,68491,Common,M19,165/280,No,Yes
"Gearsmith Guardian",1,68637,Common,M19,237/280,No,Yes
"Plains",1,68689,Basic Land,M19,263/280,No,Yes
"Swamp",1,68703,Basic Land,M19,270/280,No,Yes
